Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
contam_sp|P00004|CYC_HORSE	P00004	CYC_HORSE	CYCS	105	Equus caballus	Cytochrome c 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	10856912	2613073	2613073	14K(304.2071), 8K(304.2071), N-term(304.2071)			227294.1406	825.7135	1566.9902	3.7935	1.1632	0.1031	0.0917	136.4177	61.0746	313.7607	80.0101	148.2798	220.7561	1821.8571	507.8597	148.9817
contam_sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	Cytochrome b5 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	5334037	5334037	5334037	9K(304.2071), N-term(304.2071)			697105.0430	2421.5787	2857.5394	6.3358	0.8231	0.0000	0.0000	122.9381	15.5802	44.6106	50.9825	40.2729	35.7924	1083.0077	53.4712	23.6598
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	Trypsin 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	41	39	41	1346128864	1346128864	1346128864	17M(15.9949), 20K(304.2071), 2C(57.0214), 2K(304.2071), 37M(15.9949), 40K(304.2071), 8K(304.2071), N-term(304.2071)			12588561.9072	43604.8542	19190.7369	45.4027	4.2509	3.5365	4.8421	14651.7027	8195.0279	35979.4302	11577.3296	20086.2975	29061.1888	152942.7744	52021.4325	17969.1660
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	Fructose-bisphosphate aldolase A 	1:Experimental evidence at protein level	1.0000	0.9990	20	2	20	24	3	24	75764004	6346559	75764004	10C(57.0214), 11K(304.2071), 12K(304.2071), 12M(15.9949), 13K(304.2071), 14K(304.2071), 18K(304.2071), 27K(304.2071), 30K(304.2071), 3M(15.9949), 4C(57.0214), 5C(57.0214), 7K(304.2071), 8C(57.0214), 8K(304.2071), 8M(15.9949), N-term(304.2071)			11954059.3192	41048.0077	25839.5772	81.8851	8.8424	0.0708	0.0362	773.5471	28.1289	611.9685	245.3398	628.4448	442.8715	7819.0581	1135.4097	319.4691
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	Serum albumin 	1:Experimental evidence at protein level	1.0000	0.9990	11	8	11	13	10	13	3614331	2832766	3614331	10C(57.0214), 10K(304.2071), 11C(57.0214), 11K(304.2071), 13K(304.2071), 16K(304.2071), 18K(304.2071), 2C(57.0214), 3C(57.0214), 6C(57.0214), 7K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)			1476694.8965	5667.3093	5757.9068	16.0132	3.5534	0.0557	0.0000	174.9667	39.0285	307.6430	99.7221	141.9776	207.1026	1855.4029	350.1622	146.0003
contam_sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	Catalase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	1201177	1201177	1201177	14C(57.0214), N-term(304.2071)			317331.4248	1072.9041	1958.8186	4.4361	1.1092	0.0000	0.0000	31.8946	1.8944	33.4830	12.1275	18.3381	25.4011	334.9823	28.4902	21.3531
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	Keratin, type II cytoskeletal 1 	1:Experimental evidence at protein level	1.0000	0.9990	11	9	11	12	10	12	27314127	13832097	15713254	22M(15.9949), 35M(15.9949), 8K(304.2071), N-term(304.2071)			429326.9518	1102.6603	2275.0502	9.2460	0.0000	6.6590	0.8860	24206.5189	49.1489	349.4965	130.4109	122.2995	183.1708	2067.9529	255.9188	127.6541
contam_sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens	Gelsolin 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	17220324	17220324	17220324	17K(304.2071), 8K(304.2071), N-term(304.2071)			2187978.0117	7223.7900	5732.7436	14.6545	2.6278	0.0000	0.0000	219.9225	14.5117	326.7431	114.1534	87.2916	153.4511	2101.6724	120.5913	97.1154
contam_sp|P08758|ANXA5_HUMAN	P08758	ANXA5_HUMAN	ANXA5	320	Homo sapiens	Annexin A5 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	17	17	17	46037426	46037426	46037426	11K(304.2071), 14M(15.9949), 15K(304.2071), 2M(15.9949), 7K(304.2071), 9M(15.9949), N-term(304.2071)			4509526.9648	15983.1623	10393.4196	30.4463	5.3224	0.3710	0.1581	621.3281	38.2569	531.2273	232.2803	274.9112	396.3010	3249.8834	442.3623	222.6500
contam_sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	Homo sapiens	Thioredoxin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	9192726	9192726	9192726	11C(57.0214), 14C(57.0214), 15K(304.2071), 9K(304.2071), N-term(304.2071)			1139607.6855	3658.7739	2025.3545	5.3024	1.2369	0.0000	0.0000	53.2565	2.7983	197.5846	25.1707	59.5529	90.2946	1160.7802	112.9335	58.5640
